id_user;name;username;rating;date;nama_objek;id_objek;;
10043;John C;/Profile/hussar15;50;Nov-18;Air Panas Banjar;997;;
10049;John Green;/Profile/JohnG940;20;Jun-19;Air Panas Banjar;997;;
10187;Joss_Gamble;/Profile/Joss_Gamble;50;Des 2018;Air Panas Banjar;997;;
10425;Kadek Yudhi Mahendra;/Profile/KadekMahendra;50;Agt 2015;Air Panas Banjar;997;;
10470;kanaeri;/Profile/kanaeri;40;Feb-19;Air Panas Banjar;997;;
10553;Karyn B;/Profile/karynb186;30;Mei 2017;Air Panas Banjar;997;;
10634;Kees K;/Profile/508keesk;40;Nov-18;Air Panas Banjar;997;;
11011;kristineg499;/Profile/kristineg499;40;Agt 2017;Air Panas Banjar;997;;
11273;leannetmccullock;/Profile/leannetmccullock;40;Jun-19;Air Panas Banjar;997;;
11322;Lennert;/Profile/lennertc_13;40;Jul-17;Air Panas Banjar;997;;
11488;Lilis Haryati R;/Profile/lilisharyatir;30;Jul-15;Air Panas Banjar;997;;
11561;lindajohno;/Profile/lindajohno;40;Mei 2019;Air Panas Banjar;997;;
11566;Lindsay H;/Profile/986lindsayh;10;Jan-19;Air Panas Banjar;997;;
11785;Lucie T;/Profile/274lucieait;50;Jun-19;Air Panas Banjar;997;;
11788;Lucinda J;/Profile/391lucindaj;10;Jun-17;Air Panas Banjar;997;;
11952;Made Bali Taxi;/Profile/madebalitaxi;50;Apr-18;Air Panas Banjar;997;;
12347;MartinduckTong;/Profile/MartinduckTong;50;Feb-19;Air Panas Banjar;997;;
12783;Miams;/Profile/MyriamE115;40;Sep-19;Air Panas Banjar;997;;
12886;mika;/Profile/9mika;50;Des 2020;Air Panas Banjar;997;;
13667;Natalie Cashin;/Profile/825natalieb;30;Jun-17;Air Panas Banjar;997;;
13760;Neil G;/Profile/175neilg;40;Agt 2019;Air Panas Banjar;997;;
13813;Netty I;/Profile/netty1472;20;Des 2016;Air Panas Banjar;997;;
14328;Nyoman A;/Profile/Mangaya;50;Jul-15;Air Panas Banjar;997;;
14624;Pande B;/Profile/pandeb2015;50;Mar-15;Air Panas Banjar;997;;
14667;parwatha;/Profile/parwatha;40;Jan-18;Air Panas Banjar;997;;
14667;parwatha;/Profile/parwatha;30;Jan-16;Air Panas Banjar;997;;
14848;peterpJ4053IX;/Profile/peterpJ4053IX;30;Jun-17;Air Panas Banjar;997;;
14965;Pixsell-Image;/Profile/Pixsell-Image;50;Jul-17;Air Panas Banjar;997;;
15196;Putrada;/Profile/wayanputrada;40;Jun-18;Air Panas Banjar;997;;
15235;Putu Agus Purna... W;/Profile/ipapwirawan;40;Jul-18;Air Panas Banjar;997;;
15237;Putu B;/Profile/putub2015;50;Feb-15;Air Panas Banjar;997;;
15246;PUTU P;/Profile/726putup;40;Okt 2015;Air Panas Banjar;997;;
15375;raffendie;/Profile/raffendie;30;Okt 2014;Air Panas Banjar;997;;
15882;rhonda G;/Profile/Tour558763;30;Jul-19;Air Panas Banjar;997;;
15994;RicTan78;/Profile/RicTan78;30;Jun-19;Air Panas Banjar;997;;
16496;Roshni S;/Profile/Rosy1205;40;Jun-17;Air Panas Banjar;997;;
16883;sandralmg03;/Profile/sandralmg03;30;Jun-17;Air Panas Banjar;997;;
16925;Santa B;/Profile/11santab;40;Okt 2018;Air Panas Banjar;997;;
17297;Shanedifranco;/Profile/Shanedifranco;40;Okt 2018;Air Panas Banjar;997;;
17855;starbee21;/Profile/starbee21;50;Feb-20;Air Panas Banjar;997;;
18173;Susan;/Profile/SusanIr;40;Okt 2019;Air Panas Banjar;997;;
18367;tabhauser;/Profile/tabhauser;40;Mei 2019;Air Panas Banjar;997;;
18701;TheYiphYiph89;/Profile/TheYiphYiph89;30;Sep-15;Air Panas Banjar;997;;
18957;Tony H;/Profile/G4851UVtonyh;50;Mei 2019;Air Panas Banjar;997;;
19327;Uncle Travelling Matt;/Profile/dylanjacobs;50;Jan-20;Air Panas Banjar;997;;
19603;Vin Dosa;/Profile/VinDos2910;50;Mei 2019;Air Panas Banjar;997;;
19839;Warwick C;/Profile/_tentpeg59;40;Jul-19;Air Panas Banjar;997;;
19874;Wayan Y;/Profile/batukarutransport;40;Okt 2015;Air Panas Banjar;997;;
20300;Y2020;/Profile/Y2121;50;Jun-17;Air Panas Banjar;997;;
20652;Yuli Nuryawan;/Profile/yulinuryawan;40;Des 2019;Air Panas Banjar;997;;
20729;Yura V;/Profile/982yurav;40;Jun-17;Air Panas Banjar;997;;
20821;Zainovic;/Profile/Zainovic;40;Feb-20;Air Panas Banjar;997;;
681;AdelaideFamilyof5;/Profile/AdelaideFamilyof5;40;Des 2018;Air Terjun Aling-Aling;996;;
